experiment_id,status,phase,git_commit,config_sha,dataset_manifest,seed,checkpoint_sha,hardware,start_time,end_time,exit_code,primary_metrics,artifact_path,notes
E-000,completed,smoke-384,unversioned,smoke_sevir,real-SEVIR-event-split,0,none,weather-30828-1xH800,2026-07-15,2026-07-15,0,all-required-metrics-executed,artifacts/server/smoke_384_report.json,Untrained single-batch engineering diagnostic only; never cite as model performance
E-001,completed,smoke-128-diffcast-spatial,unversioned,smoke_sevir_128,real-SEVIR-event-split,0,none,weather-30828-1xH800,2026-07-15,2026-07-15,0,all-required-metrics-executed,artifacts/server/smoke_128_report.json,13-to-12 time retained; non-antialiased bilinear spatial preprocessing; diagnostic only
E-002,completed,data-audit,unversioned,PROTOCOL,real-SEVIR-catalog,none,none,weather-30828,2026-07-15,2026-07-15,0,four-splits-pairwise-zero-overlap,artifacts/server/sevir_split_audit.json,Event-time leakage audit passed
E-003,completed,one-step-training-chain-128,unversioned,pilot_deterministic_128+pilot_residual_128,real-SEVIR-event-split,0,smoke-only,weather-30828-1xH800,2026-07-15,2026-07-15,0,deterministic-and-residual-backward-passed,remote-artifacts/train_pilot_128,One optimizer step per stage; engineering diagnostic only
E-004,stopped,independent-8seed-two-stage-128,unversioned,train_8gpu_seeds,real-SEVIR-event-split,42-49,checkpoint-step-5000,weather-30537-8xH800,2026-07-15,2026-07-15,terminated,superseded,artifacts/experiments/phryd_v10_1_8seed_128_weather30537,Stopped by user request because independent seeds were not the requested synchronous DDP run
E-005,stopped,formal-ddp8-two-stage-128,unversioned,train_ddp8_deterministic+train_ddp8_residual,real-SEVIR-event-split,42,pending,weather-30537-8xH800,2026-07-15,2026-07-20,user_requested_stop,superseded,artifacts/experiments/phryd_v10_1_ddp8_seed42_weather30537,Historical v10.1 launch; superseded by the v10.3 DiffCast-compatible protocol
E-008,completed,sdir-v10.2-code-ready,unversioned,validate_sdir_remote,DiffCast-PhyDNet-matched-5to20-plus-catalog-13to12,42,one-step-only,weather-30537-8xH800,2026-07-17,2026-07-17,0,model-tests-cuda-bf16-real-sevir-ddp8-passed,artifacts/validation_sdir_20260717_094406,Engineering validation only; no performance claim; residual diffusion disabled
E-009,stopped,b1-weak-transport-5to20,unversioned,train_ddp8_residual_diffcast_5to20_vpred_bs32_b1_v2,frozen-DiffCast-H5-5to20,42,pending,weather-30842-8xH800,2026-07-20,2026-07-20,user_requested_stop,not_final,artifacts/experiments/phyrd_residual_vpred_diffcast_5to20_ddp8_bs32_b1_v2_seed42,Development diagnostic stopped before the formal val_model/val_calib protocol
E-010,stopped,b1-formal-split-5to20,unversioned,train_ddp8_residual_diffcast_5to20_vpred_b1_formal_split_seed42,frozen-DiffCast-H5-5to20-valid-parity,42,checkpoint_best.pt,weather-30537-8xH800,2026-07-20,2026-07-21,user_requested_stop,not_final,artifacts/experiments/phyrd_residual_vpred_diffcast_5to20_b1_formal_split_seed42,Stopped after report_test showed diffusion did not improve the SDIR baseline; checkpoints, logs, and test reports retained
E-011,stopped,b0-residual-5to20,unversioned,train_ddp8_residual_diffcast_5to20_vpred_bs32,frozen-DiffCast-H5-5to20,42,checkpoint_last.pt,weather-30537-8xH800,2026-07-19,2026-07-20,user_requested_stop,not_final,artifacts/experiments/phyrd_residual_vpred_diffcast_5to20_ddp8_bs32_seed42,Stopped by user request; checkpoints and logs retained unchanged
